Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST
134,2002,Ahmad Merritt (FA),14,26,100,7.1,25,0,0,1,5,0,2,11,6.5,0.6,0.0%
167,2003,Albert Johnson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
161,2002,Albert Johnson (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
134,2021,Albert Wilson (FA),25,39,213,8.5,64,4,0,4,17,0,0,10,23.0,2.3,0.0%
89,2019,Albert Wilson (FA),43,62,351,8.2,35,5,1,5,45,0,0,13,46.4,3.6,0.0%
72,2018,Albert Wilson (FA),26,35,391,15.0,75,15,4,8,16,0,0,7,70.8,10.1,0.0%
55,2017,Albert Wilson (FA),42,62,554,13.2,63,4,3,3,6,0,0,13,74.0,5.7,0.0%
90,2016,Albert Wilson (FA),31,51,279,9.0,42,4,2,2,50,1,0,16,50.9,3.2,0.0%
76,2015,Albert Wilson (FA),35,57,451,12.9,44,6,2,5,26,0,0,14,59.7,4.3,0.0%
109,2014,Albert Wilson (FA),16,28,260,16.3,48,4,0,0,0,0,0,12,26.0,2.2,0.0%
83,2018,Aldrick Robinson (FA),17,35,231,13.6,40,5,5,0,0,0,0,14,53.1,3.8,0.0%
97,2017,Aldrick Robinson (FA),19,48,260,13.7,45,3,2,0,0,0,0,16,38.0,2.4,0.0%
98,2016,Aldrick Robinson (FA),20,32,323,16.2,59,6,2,0,0,0,0,16,44.3,2.8,0.0%
182,2014,Aldrick Robinson (FA),1,3,6,6.0,6,0,0,0,0,0,0,5,0.6,0.1,0.0%
95,2013,Aldrick Robinson (FA),18,46,365,20.3,62,5,2,3,-4,0,0,16,48.1,3.0,0.0%
91,2012,Aldrick Robinson (FA),11,19,237,21.5,68,4,3,1,14,0,0,15,43.1,2.9,0.0%
267,2021,Alec Pierce (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,11.2%
379,2021,Alex Bachman (FA),0,0,0,0.0,0,0,0,1,-3,0,0,2,-0.3,-0.2,0.0%
219,2020,Alex Bachman (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
164,2006,Alex Bannister (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
166,2005,Alex Bannister (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
152,2004,Alex Bannister (FA),2,3,10,5.0,8,0,0,0,0,0,0,6,1.0,0.2,0.0%
121,2003,Alex Bannister (FA),3,12,61,20.3,31,0,1,0,0,0,0,13,12.1,0.9,0.0%
158,2002,Alex Bannister (FA),0,1,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
180,2021,Alex Erickson (WAS),3,4,55,18.3,25,1,0,0,0,0,0,17,5.5,0.3,0.0%
162,2020,Alex Erickson (WAS),12,17,139,11.6,42,4,0,5,7,0,2,16,10.6,0.7,0.0%
82,2019,Alex Erickson (WAS),43,78,529,12.3,52,11,0,5,33,0,2,16,53.2,3.3,0.0%
141,2018,Alex Erickson (WAS),20,29,167,8.4,28,1,0,3,22,0,1,16,16.9,1.1,0.0%
118,2017,Alex Erickson (WAS),12,16,180,15.0,37,3,1,5,16,0,1,16,23.6,1.5,0.0%
161,2016,Alex Erickson (WAS),6,8,71,11.8,20,1,0,0,0,0,0,16,7.1,0.4,0.0%
170,2019,Alexander Hollins (FA),2,4,46,23.0,35,2,0,0,0,0,0,5,4.6,0.9,0.0%
375,2021,Allen Hurns (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
83,2019,Allen Hurns (FA),32,47,416,13.0,27,4,2,0,0,0,1,14,51.6,3.7,0.0%
98,2018,Allen Hurns (FA),20,35,295,14.8,49,9,2,0,0,0,0,16,41.5,2.6,0.0%
68,2017,Allen Hurns (FA),39,56,484,12.4,50,4,2,0,0,0,0,10,60.4,6.0,0.0%
74,2016,Allen Hurns (FA),35,76,477,13.6,42,9,3,0,0,0,0,11,65.7,6.0,0.0%
14,2015,Allen Hurns (FA),64,105,"1,031",16.1,80,19,10,0,0,0,1,15,161.1,10.7,0.0%
43,2014,Allen Hurns (FA),51,97,677,13.3,63,11,6,0,0,0,0,16,103.7,6.5,0.0%
44,2021,Allen Lazard (GB),40,60,513,12.8,42,12,8,3,32,0,0,14,102.5,7.3,89.4%
74,2020,Allen Lazard (GB),33,46,451,13.7,72,13,3,2,17,0,0,10,64.8,6.5,89.4%
69,2019,Allen Lazard (GB),35,52,477,13.6,43,10,3,1,21,0,0,16,67.8,4.2,89.4%
200,2018,Allen Lazard (GB),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,89.4%
94,2021,Allen Robinson II (LAR),38,66,410,10.8,39,6,1,0,0,0,0,12,49.0,4.1,95.3%
12,2020,Allen Robinson II (LAR),102,151,"1,250",12.3,42,27,6,1,-1,0,0,16,160.9,10.1,95.3%
12,2019,Allen Robinson II (LAR),98,154,"1,147",11.7,49,22,7,1,2,0,0,16,156.9,9.8,95.3%
41,2018,Allen Robinson II (LAR),55,94,754,13.7,43,19,4,1,9,0,1,13,98.3,7.6,95.3%
185,2017,Allen Robinson II (LAR),1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,95.3%
28,2016,Allen Robinson II (LAR),73,151,883,12.1,42,11,6,0,0,0,0,16,126.3,7.9,95.3%
4,2015,Allen Robinson II (LAR),80,151,"1,400",17.5,90,31,14,0,0,0,0,16,224.0,14.0,95.3%
67,2014,Allen Robinson II (LAR),48,81,548,11.4,54,5,2,0,0,0,0,10,68.8,6.9,95.3%
279,2019,Alonzo Russell (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
235,2018,Alonzo Russell (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
143,2020,Alshon Jeffery (FA),6,13,115,19.2,39,4,1,0,0,0,0,7,17.5,2.5,0.0%
59,2019,Alshon Jeffery (FA),43,73,490,11.4,38,8,4,1,2,1,0,10,79.2,7.9,0.0%
26,2018,Alshon Jeffery (FA),65,92,843,13.0,52,18,6,0,0,0,0,13,120.3,9.3,0.0%
15,2017,Alshon Jeffery (FA),57,120,789,13.8,53,8,9,0,0,0,0,16,138.9,8.7,0.0%
53,2016,Alshon Jeffery (FA),52,94,821,15.8,54,12,2,0,0,0,0,12,94.1,7.8,0.0%
41,2015,Alshon Jeffery (FA),54,94,807,14.9,50,14,4,0,0,0,0,9,104.7,11.6,0.0%
11,2014,Alshon Jeffery (FA),85,145,"1,133",13.3,74,17,10,6,33,0,0,16,176.6,11.0,0.0%
8,2013,Alshon Jeffery (FA),89,150,"1,421",16.0,80,20,7,16,105,0,1,16,194.6,12.2,0.0%
78,2012,Alshon Jeffery (FA),24,48,367,15.3,55,6,3,0,0,0,0,10,54.7,5.5,0.0%
98,2006,Alvis Whitted (FA),27,0,299,11.1,33,0,0,1,4,0,0,13,30.3,2.3,0.0%
107,2005,Alvis Whitted (FA),14,0,183,13.1,26,0,0,2,51,0,0,9,23.4,2.6,0.0%
92,2004,Alvis Whitted (FA),9,25,227,25.2,57,0,2,0,0,0,0,10,36.7,3.7,0.0%
106,2003,Alvis Whitted (FA),7,24,106,15.1,36,0,1,6,37,0,0,14,20.3,1.5,0.0%
173,2002,Alvis Whitted (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
54,2008,Amani Toomer (FA),35,0,437,12.5,40,0,3,0,0,0,0,12,61.7,5.1,0.0%
58,2007,Amani Toomer (FA),30,0,355,11.8,40,0,2,0,0,0,0,8,47.5,5.9,0.0%
74,2006,Amani Toomer (FA),32,0,360,11.3,44,0,3,1,0,0,0,8,54.0,6.8,0.0%
32,2005,Amani Toomer (FA),60,20,684,11.4,37,0,7,0,0,0,0,15,110.4,7.4,0.0%
53,2004,Amani Toomer (FA),51,106,747,14.6,48,0,0,0,0,0,1,15,72.7,4.8,0.0%
17,2003,Amani Toomer (FA),63,152,"1,057",16.8,77,0,5,1,5,0,0,16,136.2,8.5,0.0%
6,2002,Amani Toomer (FA),82,134,"1,343",16.4,82,0,8,1,2,0,0,16,182.5,11.4,0.0%
160,2017,Amara Darboh (FA),8,13,71,8.9,16,0,0,0,0,0,0,16,7.1,0.4,0.0%
26,2021,Amari Cooper (CLE),68,104,865,12.7,41,20,8,0,0,0,0,15,134.5,9.0,93.5%
19,2020,Amari Cooper (CLE),92,130,"1,114",12.1,69,26,5,6,14,0,0,16,144.8,9.1,93.5%
7,2019,Amari Cooper (CLE),79,119,"1,189",15.1,53,31,8,1,6,0,0,16,167.5,10.5,93.5%
19,2018,Amari Cooper (CLE),75,107,"1,005",13.4,90,21,7,2,20,0,2,15,140.5,9.4,93.5%
31,2017,Amari Cooper (CLE),48,96,680,14.2,87,9,7,1,4,0,0,14,110.4,7.9,93.5%
12,2016,Amari Cooper (CLE),83,132,"1,153",13.9,64,21,5,1,0,0,0,16,149.3,9.3,93.5%
25,2015,Amari Cooper (CLE),72,130,"1,070",14.9,68,16,6,3,-3,0,1,16,140.7,8.8,93.5%
178,2021,Amari Rodgers (GB),4,8,45,11.3,19,0,0,1,11,0,0,16,5.6,0.4,0.8%
23,2021,Amon-Ra St. Brown (DET),90,119,912,10.1,37,15,5,7,61,1,0,16,137.3,8.6,95.8%
135,2005,Andrae Thurman (FA),7,1,92,13.1,33,0,0,0,0,0,0,14,9.2,0.7,0.0%
151,2004,Andrae Thurman (FA),2,2,12,6.0,9,0,0,0,0,0,0,2,1.2,0.6,0.0%
230,2021,Andre Baccellia (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
130,2015,Andre Caldwell (FA),10,22,72,7.2,24,1,2,1,3,0,0,14,19.5,1.4,0.0%
160,2014,Andre Caldwell (FA),5,15,47,9.4,15,0,0,0,0,0,0,16,4.7,0.3,0.0%
104,2013,Andre Caldwell (FA),16,29,200,12.5,36,2,3,1,7,0,0,16,38.7,2.4,0.0%
170,2012,Andre Caldwell (FA),1,4,18,18.0,18,0,0,1,14,0,0,8,3.2,0.4,0.0%
84,2011,Andre Caldwell (FA),37,68,317,8.6,49,0,3,0,0,0,0,13,49.7,3.8,0.0%
106,2010,Andre Caldwell (FA),25,37,345,13.8,53,0,0,1,-2,0,1,15,32.3,2.2,0.0%
71,2009,Andre Caldwell (FA),51,80,432,8.5,24,0,3,3,22,0,2,16,59.4,3.7,0.0%
117,2008,Andre Caldwell (FA),11,0,78,7.1,15,0,0,5,53,0,0,7,13.1,1.9,0.0%
133,2009,Andre Davis (FA),6,11,59,9.8,21,0,0,0,0,0,0,13,5.9,0.5,0.0%
115,2008,Andre Davis (FA),10,2,139,13.9,33,0,0,0,0,0,0,9,13.9,1.5,0.0%
40,2007,Andre Davis (FA),23,5,441,19.2,53,0,3,0,0,0,0,7,64.1,9.2,0.0%
154,2006,Andre Davis (FA),2,0,13,6.5,8,0,0,0,0,0,0,13,1.3,0.1,0.0%
105,2005,Andre Davis (FA),9,0,190,21.1,60,0,1,0,0,0,0,7,25.0,3.6,0.0%
74,2004,Andre Davis (FA),16,35,416,26.0,99,0,2,1,-3,0,0,7,53.3,7.6,0.0%
42,2003,Andre Davis (FA),40,62,576,14.4,49,0,5,5,28,0,1,16,88.4,5.5,0.0%
56,2002,Andre Davis (FA),37,72,420,11.4,31,0,6,3,7,0,0,16,78.7,4.9,0.0%
228,2019,Andre Holmes (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
144,2018,Andre Holmes (FA),13,24,162,12.5,24,5,0,0,0,0,0,15,16.2,1.1,0.0%
109,2017,Andre Holmes (FA),13,23,120,9.2,36,1,3,0,0,0,0,14,30.0,2.1,0.0%
114,2016,Andre Holmes (FA),14,25,126,9.0,23,2,3,0,0,0,0,16,30.6,1.9,0.0%
92,2015,Andre Holmes (FA),14,33,201,14.4,49,4,4,0,0,0,0,16,44.1,2.8,0.0%
53,2014,Andre Holmes (FA),47,98,693,14.7,77,9,4,0,0,0,0,16,93.3,5.8,0.0%
92,2013,Andre Holmes (FA),25,52,431,17.2,40,10,1,0,0,0,0,10,49.1,4.9,0.0%
184,2012,Andre Holmes (FA),2,2,11,5.5,7,0,0,0,0,0,0,7,1.1,0.2,0.0%
128,2016,Andre Johnson (FA),9,23,85,9.4,20,1,2,0,0,0,0,8,20.5,2.6,0.0%
62,2015,Andre Johnson (FA),41,77,503,12.3,35,7,4,0,0,0,0,16,74.3,4.6,0.0%
41,2014,Andre Johnson (FA),85,147,936,11.0,35,14,3,0,0,0,3,15,105.6,7.0,0.0%
12,2013,Andre Johnson (FA),109,181,"1,407",12.9,62,20,5,0,0,0,0,16,170.7,10.7,0.0%
8,2012,Andre Johnson (FA),112,163,"1,598",14.3,60,23,4,0,0,0,0,16,183.8,11.5,0.0%
70,2011,Andre Johnson (FA),33,51,492,14.9,50,0,2,1,8,0,0,7,62.0,8.9,0.0%
8,2010,Andre Johnson (FA),86,138,"1,216",14.1,60,0,8,2,10,0,0,13,170.6,13.1,0.0%
1,2009,Andre Johnson (FA),101,171,"1,569",15.5,72,0,9,2,10,0,0,16,213.9,13.4,0.0%
2,2008,Andre Johnson (FA),115,26,"1,575",13.7,65,0,8,0,0,0,0,16,207.5,13.0,0.0%
14,2007,Andre Johnson (FA),60,10,851,14.2,77,0,8,0,0,0,0,9,133.1,14.8,0.0%
18,2006,Andre Johnson (FA),103,0,"1,147",11.1,53,0,5,3,14,0,0,16,146.1,9.1,0.0%
46,2005,Andre Johnson (FA),63,20,688,10.9,53,0,2,6,10,0,0,12,81.8,6.8,0.0%
22,2004,Andre Johnson (FA),79,138,"1,142",14.5,54,0,6,4,12,0,1,16,149.4,9.3,0.0%
23,2003,Andre Johnson (FA),66,119,976,14.8,46,0,4,5,-10,0,0,16,120.6,7.5,0.0%
139,2004,Andre King (FA),5,8,49,9.8,16,0,0,0,0,0,0,5,4.9,1.0,0.0%
127,2003,Andre King (FA),9,14,88,9.8,28,0,0,0,0,0,0,12,8.8,0.7,0.0%
138,2002,Andre King (FA),5,6,41,8.2,13,0,0,0,0,0,0,8,4.1,0.5,0.0%
167,2019,Andre Patton (FA),6,17,56,9.3,15,0,0,0,0,0,0,13,5.6,0.4,0.0%
171,2021,Andre Roberts (CAR),1,2,35,35.0,35,2,0,3,19,0,2,16,7.4,0.5,0.0%
252,2020,Andre Roberts (CAR),4,5,34,8.5,16,0,0,1,-3,0,2,15,-0.9,-0.1,0.0%
182,2019,Andre Roberts (CAR),3,7,20,6.7,7,0,0,1,7,0,0,13,2.7,0.2,0.0%
153,2018,Andre Roberts (CAR),10,18,79,7.9,20,1,1,2,20,0,1,16,13.9,0.9,0.0%
228,2017,Andre Roberts (CAR),1,4,12,12.0,12,0,0,0,0,0,1,16,-0.8,-0.1,0.0%
123,2016,Andre Roberts (CAR),14,25,188,13.4,44,3,1,0,0,0,1,16,22.8,1.4,0.0%
143,2015,Andre Roberts (CAR),11,21,135,12.3,38,1,0,0,0,0,0,9,13.5,1.5,0.0%
85,2014,Andre Roberts (CAR),36,73,453,12.6,61,7,2,2,21,0,2,16,55.4,3.5,0.0%
72,2013,Andre Roberts (CAR),43,76,471,11.0,34,3,2,0,0,0,0,16,59.1,3.7,0.0%
37,2012,Andre Roberts (CAR),64,114,759,11.9,46,10,5,4,29,0,0,15,108.8,7.3,0.0%
61,2011,Andre Roberts (CAR),51,98,586,11.5,45,0,2,3,27,0,0,16,73.3,4.6,0.0%
93,2010,Andre Roberts (CAR),24,49,307,12.8,74,0,2,0,0,0,1,15,40.7,2.7,0.0%
91,2016,Andrew Hawkins (FA),33,54,324,9.8,33,5,3,2,0,0,0,16,50.4,3.2,0.0%
113,2015,Andrew Hawkins (FA),27,43,276,10.2,25,2,0,0,0,0,1,8,27.6,3.5,0.0%
50,2014,Andrew Hawkins (FA),63,112,824,13.1,65,13,2,3,15,0,0,15,95.9,6.4,0.0%
120,2013,Andrew Hawkins (FA),12,18,199,16.6,50,4,0,2,3,0,0,8,20.2,2.5,0.0%
61,2012,Andrew Hawkins (FA),51,80,533,10.5,59,5,4,6,30,0,0,14,80.3,5.7,0.0%
113,2011,Andrew Hawkins (FA),23,34,263,11.4,26,0,0,5,25,0,0,13,28.8,2.2,0.0%
177,2015,Andrew Turzilli (FA),2,2,25,12.5,18,0,0,0,0,0,0,3,2.5,0.8,0.0%
213,2021,Andy Isabella (ARI),1,1,13,13.0,13,0,0,0,0,0,0,3,1.3,0.4,0.1%
112,2020,Andy Isabella (ARI),21,35,224,10.7,54,6,2,1,-6,0,0,13,33.8,2.6,0.1%
119,2019,Andy Isabella (ARI),9,13,189,21.0,88,8,1,4,15,0,0,15,26.4,1.8,0.1%
257,2019,Andy Jones (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
152,2018,Andy Jones (FA),11,24,80,7.3,15,0,1,0,0,0,0,8,14.0,1.8,0.0%
212,2017,Andy Jones (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
45,2016,Anquan Boldin (FA),67,95,584,8.7,35,5,8,0,0,0,0,16,106.4,6.7,0.1%
44,2015,Anquan Boldin (FA),69,111,789,11.4,51,10,4,0,0,0,1,14,100.9,7.2,0.1%
21,2014,Anquan Boldin (FA),83,131,"1,062",12.8,76,14,5,1,4,0,0,16,136.6,8.5,0.1%
15,2013,Anquan Boldin (FA),85,129,"1,179",13.9,63,19,7,2,11,0,0,16,161.0,10.1,0.1%
31,2012,Anquan Boldin (FA),65,112,921,14.2,43,17,4,1,3,0,0,15,118.4,7.9,0.1%
37,2011,Anquan Boldin (FA),57,106,887,15.6,56,0,3,0,0,0,0,14,106.7,7.6,0.1%
25,2010,Anquan Boldin (FA),64,109,837,13.1,61,0,7,2,2,0,1,16,123.7,7.7,0.1%
23,2009,Anquan Boldin (FA),84,127,"1,024",12.2,44,0,4,3,12,1,2,15,129.6,8.6,0.1%
7,2008,Anquan Boldin (FA),89,12,"1,038",11.7,79,0,11,9,67,0,0,12,176.5,14.7,0.1%
13,2007,Anquan Boldin (FA),71,0,853,12.0,44,0,9,1,14,0,0,12,140.7,11.7,0.1%
17,2006,Anquan Boldin (FA),83,0,"1,203",14.5,64,0,4,5,28,0,0,16,147.1,9.2,0.1%
6,2005,Anquan Boldin (FA),102,0,"1,402",13.7,54,0,7,12,45,0,0,14,188.7,13.5,0.1%
57,2004,Anquan Boldin (FA),56,104,623,11.1,31,0,1,1,3,0,1,10,66.6,6.7,0.1%
6,2003,Anquan Boldin (FA),101,165,"1,377",13.6,71,0,8,5,40,0,3,16,181.7,11.4,0.1%
183,2012,Anthony Armstrong (FA),3,9,12,4.0,9,0,0,0,0,0,0,6,1.2,0.2,0.0%
120,2011,Anthony Armstrong (FA),7,27,103,14.7,50,0,2,2,19,0,0,14,24.2,1.7,0.0%
40,2010,Anthony Armstrong (FA),44,86,871,19.8,76,0,3,0,0,0,1,15,103.1,6.9,0.0%
176,2002,Anthony Bright (FA),0,3,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
196,2011,Anthony Gonzalez (FA),0,2,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
147,2010,Anthony Gonzalez (FA),5,9,67,13.4,34,0,0,0,0,0,0,2,6.7,3.4,0.0%
49,2008,Anthony Gonzalez (FA),41,0,442,10.8,34,0,4,0,0,0,0,13,68.2,5.2,0.0%
85,2007,Anthony Gonzalez (FA),15,0,207,13.8,24,0,0,0,0,0,0,6,20.7,3.5,0.0%
198,2017,Anthony Johnson (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
196,2016,Anthony Johnson (FA),0,0,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
202,2014,Anthony Johnson (FA),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
167,2021,Anthony Miller (PIT),6,12,25,4.2,10,0,1,0,0,0,0,3,8.5,2.8,0.0%
84,2020,Anthony Miller (PIT),49,76,485,9.9,34,5,2,2,12,0,1,16,59.7,3.7,0.0%
63,2019,Anthony Miller (PIT),52,85,656,12.6,35,16,2,1,-1,0,1,16,75.5,4.7,0.0%
52,2018,Anthony Miller (PIT),33,54,423,12.8,55,11,7,6,26,0,0,15,87.2,5.8,0.0%
123,2007,Anthony Mix (FA),3,0,39,13.0,21,0,0,0,0,0,0,1,3.9,3.9,0.0%
133,2021,Anthony Schwartz (CLE),10,23,135,13.5,44,3,1,6,39,0,0,13,23.4,1.8,0.3%
109,2021,Antoine Wesley (ARI),19,32,208,10.9,33,5,3,0,0,0,0,8,38.8,4.9,0.0%
57,2021,Antonio Brown (FA),42,62,545,13.0,62,15,4,1,6,0,0,7,79.1,11.3,0.4%
66,2020,Antonio Brown (FA),45,62,483,10.7,46,9,4,2,-2,0,0,8,72.1,9.0,0.4%
146,2019,Antonio Brown (FA),4,8,56,14.0,20,1,1,1,5,0,0,1,12.1,12.1,0.4%
2,2018,Antonio Brown (FA),104,168,"1,297",12.5,78,33,15,0,0,0,0,15,219.7,14.6,0.4%
2,2017,Antonio Brown (FA),101,163,"1,533",15.2,57,27,9,0,0,0,0,14,209.3,15.0,0.4%
3,2016,Antonio Brown (FA),106,154,"1,284",12.1,51,22,12,3,9,0,0,15,201.3,13.4,0.4%
1,2015,Antonio Brown (FA),136,193,"1,834",13.5,59,25,10,3,28,0,2,16,246.2,15.4,0.4%
1,2014,Antonio Brown (FA),129,181,"1,698",13.2,63,19,13,4,13,0,2,16,251.9,15.7,0.4%
7,2013,Antonio Brown (FA),110,166,"1,499",13.6,56,23,8,7,4,0,0,16,198.9,12.4,0.4%
40,2012,Antonio Brown (FA),66,106,787,11.9,60,10,5,7,24,0,2,13,105.1,8.1,0.4%
24,2011,Antonio Brown (FA),69,124,"1,108",16.1,79,0,2,7,41,0,0,16,126.9,7.9,0.4%
127,2010,Antonio Brown (FA),16,19,167,10.4,26,0,0,0,0,0,0,9,16.7,1.9,0.4%
