Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST
1,2007,Adrian Peterson (FA),238,"1,341",5.6,73,0,12,19,3,268,14.1,1,1,14,236.9,16.9,2.1%
60,2007,Adrian Peterson (FA),28,127,4.5,11,0,0,24,0,193,8.0,0,0,8,32.0,4.0,0.0%
81,2006,Adrian Peterson (FA),10,41,4.1,11,0,2,6,0,88,14.7,0,0,14,24.9,1.8,0.0%
57,2005,Adrian Peterson (FA),76,391,5.1,36,0,2,7,1,48,6.9,0,0,13,55.9,4.3,0.0%
136,2004,Adrian Peterson (FA),6,19,3.2,13,0,0,2,2,30,15.0,0,0,12,4.9,0.4,0.0%
121,2003,Adrian Peterson (FA),22,70,3.2,10,0,0,1,1,5,5.0,0,0,4,7.5,1.9,0.0%
97,2002,Adrian Peterson (FA),19,101,5.3,14,0,1,3,4,18,6.0,0,0,6,17.9,3.0,0.0%
83,2015,Ahmad Bradshaw (FA),31,85,2.7,23,1,0,10,14,64,6.4,3,0,6,32.9,5.5,0.0%
26,2014,Ahmad Bradshaw (FA),90,425,4.7,29,3,2,38,47,300,7.9,6,2,10,116.5,11.7,0.0%
74,2013,Ahmad Bradshaw (FA),41,186,4.5,27,1,2,7,8,42,6.0,0,0,3,34.8,11.6,0.0%
18,2012,Ahmad Bradshaw (FA),221,"1,015",4.6,37,4,6,23,31,245,10.7,0,3,14,156.0,11.1,0.0%
20,2011,Ahmad Bradshaw (FA),171,659,3.9,37,0,9,34,44,267,7.9,2,1,12,158.6,13.2,0.0%
14,2010,Ahmad Bradshaw (FA),276,"1,235",4.5,48,0,8,47,58,314,6.7,0,6,16,192.9,12.1,0.0%
28,2009,Ahmad Bradshaw (FA),163,778,4.8,38,0,7,21,30,207,9.9,0,2,15,136.5,9.1,0.0%
57,2008,Ahmad Bradshaw (FA),67,355,5.3,77,0,1,5,0,42,8.4,1,0,15,51.7,3.4,0.0%
68,2007,Ahmad Bradshaw (FA),23,190,8.3,88,0,1,2,0,12,6.0,0,0,12,26.2,2.2,0.0%
83,2009,Ahman Green (FA),41,160,3.9,26,0,1,3,5,18,6.0,0,0,7,23.8,3.4,0.0%
63,2008,Ahman Green (FA),69,266,3.9,14,0,3,7,0,29,4.1,0,0,7,47.5,6.8,0.0%
42,2007,Ahman Green (FA),70,260,3.7,18,0,2,14,0,123,8.8,0,0,6,50.3,8.4,0.0%
15,2006,Ahman Green (FA),266,"1,059",4.0,70,0,5,46,0,373,8.1,1,0,14,179.2,12.8,0.0%
69,2005,Ahman Green (FA),77,255,3.3,13,0,0,19,0,147,7.7,0,0,5,40.2,8.0,0.0%
15,2004,Ahman Green (FA),259,"1,163",4.5,90,0,7,40,48,275,6.9,1,4,15,188.6,12.6,0.0%
3,2003,Ahman Green (FA),355,"1,883",5.3,98,0,15,50,60,367,7.3,5,5,16,335.0,20.9,0.0%
12,2002,Ahman Green (FA),286,"1,240",4.3,43,0,7,57,74,393,6.9,2,3,14,211.3,15.1,0.0%
125,2011,Ahmard Hall (FA),6,24,4.0,12,0,0,9,14,46,5.1,0,1,8,5.0,0.6,0.0%
111,2010,Ahmard Hall (FA),1,1,1.0,1,0,0,15,20,100,6.7,0,0,13,10.1,0.8,0.0%
123,2009,Ahmard Hall (FA),1,5,5.0,5,0,0,12,16,79,6.6,0,2,13,4.4,0.3,0.0%
76,2008,Ahmard Hall (FA),4,11,2.8,6,0,0,11,1,131,11.9,2,0,11,28.2,2.6,0.0%
121,2007,Ahmard Hall (FA),0,0,0.0,0,0,0,3,0,23,7.7,0,0,4,2.3,0.6,0.0%
96,2006,Ahmard Hall (FA),7,21,3.0,11,0,0,15,0,138,9.2,0,0,12,15.9,1.3,0.0%
21,2021,AJ Dillon (GB),187,803,4.3,36,3,5,34,37,313,9.2,2,1,17,151.6,8.9,92.7%
76,2020,AJ Dillon (GB),46,242,5.3,30,3,2,2,2,21,10.5,0,0,11,38.3,3.5,92.7%
127,2017,Akeem Hunt (FA),8,23,2.9,11,0,0,4,7,31,7.8,0,0,15,5.4,0.4,0.0%
105,2016,Akeem Hunt (FA),20,109,5.5,19,0,0,3,4,29,9.7,0,0,8,13.8,1.7,0.0%
114,2015,Akeem Hunt (FA),17,96,5.6,25,2,0,6,10,39,6.5,0,0,7,13.5,1.9,0.0%
145,2005,Alan Ricard (FA),0,0,0.0,0,0,0,2,0,18,9.0,0,0,2,1.8,0.9,0.0%
125,2004,Alan Ricard (FA),10,36,3.6,14,0,0,11,14,39,3.5,0,0,13,7.5,0.6,0.0%
105,2003,Alan Ricard (FA),19,79,4.2,30,0,0,9,15,62,6.9,0,0,14,14.1,1.0,0.0%
86,2002,Alan Ricard (FA),14,58,4.1,19,0,2,10,14,60,6.0,0,0,12,23.8,2.0,0.0%
127,2010,Albert Young (FA),13,29,2.2,6,0,0,2,2,11,5.5,0,0,2,4.0,2.0,0.0%
119,2009,Albert Young (FA),12,53,4.4,10,0,0,0,0,0,0.0,0,0,2,5.3,2.7,0.0%
110,2021,Alec Ingold (MIA),2,1,0.5,1,0,0,10,12,85,8.5,1,0,7,14.6,2.1,0.0%
99,2020,Alec Ingold (MIA),3,4,1.3,3,0,0,12,17,110,9.2,1,0,16,17.4,1.1,0.0%
101,2019,Alec Ingold (MIA),10,17,1.7,4,0,0,6,6,44,7.3,1,0,16,12.1,0.8,0.0%
126,2021,Alex Armah Jr. (FA),5,21,4.2,9,0,0,1,1,1,1.0,1,0,10,8.2,0.8,0.0%
142,2020,Alex Armah Jr. (FA),6,9,1.5,3,0,0,5,9,18,3.6,0,0,16,2.7,0.2,0.0%
111,2019,Alex Armah Jr. (FA),6,11,1.8,4,0,1,2,2,6,3.0,0,0,16,7.7,0.5,0.0%
98,2018,Alex Armah Jr. (FA),9,15,1.7,4,0,2,1,1,5,5.0,0,0,16,14.0,0.9,0.0%
164,2017,Alex Armah Jr. (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,9,0.0,0.0,0.0%
62,2021,Alex Collins (FA),108,411,3.8,25,2,2,9,10,87,9.7,0,1,11,59.8,5.4,19.0%
94,2020,Alex Collins (FA),18,77,4.3,13,0,2,1,2,4,4.0,0,0,3,20.1,6.7,19.0%
179,2019,Alex Collins (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,19.0%
39,2018,Alex Collins (FA),114,411,3.6,19,0,7,15,21,105,7.0,1,3,10,93.6,9.4,19.0%
16,2017,Alex Collins (FA),212,973,4.6,50,6,6,23,36,187,8.1,0,2,15,148.0,9.9,19.0%
86,2016,Alex Collins (FA),31,125,4.0,26,1,1,11,11,84,7.6,0,1,11,24.9,2.3,19.0%
128,2013,Alex Green (FA),11,35,3.2,9,0,0,2,2,8,4.0,0,0,13,4.3,0.3,0.0%
56,2012,Alex Green (FA),135,464,3.4,41,2,0,18,29,125,6.9,0,0,12,58.9,4.9,0.0%
144,2011,Alex Green (FA),3,11,3.7,8,0,0,1,1,6,6.0,0,0,4,1.7,0.4,0.0%
126,2007,Alex Haynes (FA),1,2,2.0,2,0,0,3,0,14,4.7,0,0,2,1.6,0.8,0.0%
40,2021,Alexander Mattison (MIN),134,491,3.7,48,4,3,32,39,228,7.1,1,1,16,93.9,5.9,55.5%
50,2020,Alexander Mattison (MIN),96,434,4.5,25,4,2,13,15,125,9.6,1,0,13,73.9,5.7,55.5%
56,2019,Alexander Mattison (MIN),100,462,4.6,35,5,1,10,12,82,8.2,0,1,13,58.4,4.5,55.5%
143,2014,Alfonso Smith (FA),7,19,2.7,12,0,0,3,4,11,3.7,0,0,6,3.0,0.5,0.0%
100,2013,Alfonso Smith (FA),18,54,3.0,21,1,1,10,13,68,6.8,0,1,16,16.2,1.0,0.0%
144,2012,Alfonso Smith (FA),0,0,0.0,0,0,0,2,3,21,10.5,0,0,11,2.1,0.2,0.0%
95,2011,Alfonso Smith (FA),30,102,3.4,12,0,1,3,5,21,7.0,0,0,15,18.3,1.2,0.0%
164,2010,Alfonso Smith (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
49,2018,Alfred Blue (FA),150,499,3.3,17,0,2,20,27,154,7.7,0,0,16,77.3,4.8,0.0%
77,2017,Alfred Blue (FA),71,262,3.7,48,1,1,7,9,54,7.7,0,0,11,37.6,3.4,0.0%
62,2016,Alfred Blue (FA),100,420,4.2,25,2,1,12,16,40,3.3,0,1,14,50.0,3.6,0.0%
39,2015,Alfred Blue (FA),183,698,3.8,41,2,2,15,16,109,7.3,1,1,16,96.7,6.0,0.0%
40,2014,Alfred Blue (FA),169,528,3.1,46,2,2,15,18,113,7.5,1,0,16,82.1,5.1,0.0%
78,2020,Alfred Morris (FA),55,238,4.3,20,1,1,3,4,19,6.3,1,0,9,37.7,4.2,0.0%
148,2019,Alfred Morris (FA),1,4,4.0,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0%
61,2018,Alfred Morris (FA),111,428,3.9,51,6,2,8,13,73,9.1,0,1,12,60.1,5.0,0.0%
57,2017,Alfred Morris (FA),115,547,4.8,70,4,1,7,9,45,6.4,0,0,14,65.2,4.7,0.0%
75,2016,Alfred Morris (FA),69,243,3.5,17,0,2,3,6,11,3.7,0,0,14,37.4,2.7,0.0%
47,2015,Alfred Morris (FA),202,751,3.7,48,4,1,10,13,55,5.5,0,0,16,86.6,5.4,0.0%
13,2014,Alfred Morris (FA),265,"1,074",4.1,30,9,8,17,26,155,9.1,0,0,16,170.9,10.7,0.0%
15,2013,Alfred Morris (FA),276,"1,275",4.6,45,10,7,9,12,78,8.7,0,4,16,169.3,10.6,0.0%
5,2012,Alfred Morris (FA),335,"1,613",4.8,39,9,13,11,16,77,7.0,0,3,16,241.0,15.1,0.0%
146,2015,Alonzo Harris (FA),4,19,4.8,16,0,0,0,1,0,0.0,0,0,6,1.9,0.3,0.0%
9,2021,Alvin Kamara (NO),240,898,3.7,30,4,4,47,67,439,9.3,5,0,13,187.7,14.4,100.0%
2,2020,Alvin Kamara (NO),187,932,5.0,49,13,16,83,107,756,9.1,5,0,15,294.8,19.7,100.0%
16,2019,Alvin Kamara (NO),171,797,4.7,40,8,5,81,97,533,6.6,1,1,14,167.5,12.0,100.0%
4,2018,Alvin Kamara (NO),194,883,4.6,49,3,14,81,105,709,8.8,4,0,15,273.2,18.2,100.0%
4,2017,Alvin Kamara (NO),120,728,6.1,74,5,8,81,100,826,10.2,5,1,16,233.4,14.6,100.0%
167,2009,Alvin Pearman (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,1,5,-2.0,-0.4,0.0%
105,2008,Alvin Pearman (FA),0,0,0.0,0,0,0,1,0,23,23.0,1,0,1,8.3,8.3,0.0%
139,2007,Alvin Pearman (FA),0,0,0.0,0,0,0,1,0,1,1.0,0,0,3,0.1,0.0,0.0%
93,2006,Alvin Pearman (FA),19,89,4.7,12,0,1,2,0,12,6.0,0,0,13,16.1,1.2,0.0%
66,2005,Alvin Pearman (FA),39,149,3.8,45,0,1,32,6,240,7.5,0,0,16,44.9,2.8,0.0%
66,2021,Ameer Abdullah (LV),51,166,3.3,15,0,0,38,53,289,7.6,1,0,17,51.5,3.0,4.7%
92,2020,Ameer Abdullah (LV),8,42,5.3,13,0,0,8,9,58,7.3,2,0,16,22.0,1.4,4.7%
87,2019,Ameer Abdullah (LV),23,115,5.0,15,0,0,15,21,88,5.9,1,1,16,24.3,1.5,4.7%
146,2018,Ameer Abdullah (LV),1,1,1.0,1,0,0,3,4,28,9.3,0,1,10,0.9,0.1,4.7%
40,2017,Ameer Abdullah (LV),165,552,3.3,34,5,4,25,35,162,6.5,1,1,14,99.4,7.1,4.7%
91,2016,Ameer Abdullah (LV),18,101,5.6,24,1,0,5,5,57,11.4,1,0,2,21.8,10.9,4.7%
42,2015,Ameer Abdullah (LV),143,597,4.2,36,4,2,25,38,183,7.3,1,2,16,92.0,5.8,4.7%
143,2005,Amos Zereoue (FA),7,14,2.0,12,0,0,1,0,5,5.0,0,0,1,1.9,1.9,0.0%
38,2004,Amos Zereoue (FA),112,425,3.8,55,0,3,39,48,284,7.3,0,1,15,86.9,5.8,0.0%
40,2003,Amos Zereoue (FA),132,433,3.3,22,0,2,40,51,310,7.8,0,0,16,86.3,5.4,0.0%
29,2002,Amos Zereoue (FA),193,762,3.9,42,0,4,42,53,341,8.1,0,2,16,130.3,8.1,0.0%
50,2013,Andre Brown (FA),139,492,3.5,23,1,3,20,29,103,5.2,0,3,8,73.5,9.2,0.0%
31,2012,Andre Brown (FA),73,385,5.3,31,3,8,12,17,86,7.2,0,0,10,97.1,9.7,0.0%
165,2010,Andre Brown (FA),2,-1,-0.5,0,0,0,0,0,0,0.0,0,0,4,-0.1,-0.0,0.0%
68,2017,Andre Ellington (FA),20,55,2.8,14,0,1,39,59,369,9.5,0,0,12,48.4,4.0,0.1%
97,2016,Andre Ellington (FA),34,96,2.8,13,0,0,12,19,85,7.1,0,0,16,18.1,1.1,0.1%
61,2015,Andre Ellington (FA),45,289,6.4,63,2,3,15,24,148,9.9,0,1,10,59.7,6.0,0.1%
20,2014,Andre Ellington (FA),201,660,3.3,22,4,3,46,64,395,8.6,2,2,12,131.5,11.0,0.1%
24,2013,Andre Ellington (FA),118,652,5.5,80,8,3,39,57,371,9.5,1,0,15,126.3,8.4,0.1%
123,2008,Andre Hall (FA),8,13,1.6,9,0,0,3,0,25,8.3,0,0,4,3.8,1.0,0.0%
132,2007,Andre Hall (FA),3,10,3.3,6,0,0,0,0,0,0.0,0,0,2,1.0,0.5,0.0%
141,2017,Andre Williams (FA),9,25,2.8,7,0,0,0,0,0,0.0,0,0,8,2.5,0.3,0.0%
120,2016,Andre Williams (FA),18,87,4.8,14,0,0,0,2,0,0.0,0,0,1,8.7,8.7,0.0%
80,2015,Andre Williams (FA),88,257,2.9,35,1,1,1,3,7,7.0,0,0,16,34.4,2.2,0.0%
21,2014,Andre Williams (FA),217,721,3.3,50,4,7,18,37,130,7.2,0,0,16,127.1,7.9,0.0%
177,2021,Andrew Beck (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
160,2020,Andrew Beck (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,10,0.0,0.0,0.0%
158,2019,Andrew Beck (DEN),1,3,3.0,3,0,0,9,12,90,10.0,1,0,16,0.0,0.0,0.0%
137,2006,Andrew Pinnock (FA),4,25,6.3,15,0,0,0,0,0,0.0,0,0,3,2.5,0.8,0.0%
156,2005,Andrew Pinnock (FA),1,4,4.0,4,0,0,0,0,0,0.0,0,0,5,0.4,0.1,0.0%
135,2004,Andrew Pinnock (FA),9,26,2.9,11,0,0,3,3,26,8.7,0,0,1,5.2,5.2,0.0%
169,2003,Andrew Pinnock (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0%
124,2021,Andy Janovich (FA),2,0,0.0,1,0,1,3,4,9,3.0,0,0,6,8.9,1.5,0.0%
145,2020,Andy Janovich (FA),2,4,2.0,2,0,0,2,5,13,6.5,0,0,14,1.7,0.1,0.0%
105,2019,Andy Janovich (FA),1,1,1.0,1,0,1,5,5,42,8.4,0,0,8,10.3,1.3,0.0%
91,2018,Andy Janovich (FA),2,5,2.5,3,0,0,8,10,112,14.0,1,0,16,17.7,1.1,0.0%
116,2017,Andy Janovich (FA),6,12,2.0,4,0,1,4,6,35,8.8,0,0,16,10.7,0.7,0.0%
106,2016,Andy Janovich (FA),4,33,8.3,28,1,1,5,7,44,8.8,0,0,11,13.7,1.2,0.0%
114,2012,Anthony Allen (FA),16,61,3.8,20,1,1,2,4,12,6.0,0,0,16,13.3,0.8,0.0%
153,2011,Anthony Allen (FA),3,8,2.7,3,0,0,0,0,0,0.0,0,0,5,0.8,0.2,0.0%
243,2021,Anthony Alridge (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
110,2015,Anthony Dixon (FA),21,44,2.1,6,0,1,6,7,44,7.3,0,0,16,14.8,0.9,0.0%
57,2014,Anthony Dixon (FA),105,432,4.1,47,3,2,8,9,49,6.1,0,0,16,60.1,3.8,0.0%
91,2013,Anthony Dixon (FA),28,56,2.0,9,0,2,3,3,30,10.0,0,0,16,20.6,1.3,0.0%
99,2012,Anthony Dixon (FA),21,78,3.7,9,0,2,0,0,0,0.0,0,0,16,19.8,1.2,0.0%
93,2011,Anthony Dixon (FA),29,87,3.0,9,0,2,1,1,6,6.0,0,0,16,21.3,1.3,0.0%
73,2010,Anthony Dixon (FA),70,237,3.4,34,0,2,5,5,11,2.2,0,0,16,36.8,2.3,0.0%
152,2021,Anthony McFarland Jr. (PIT),3,3,1.0,3,0,0,1,1,11,11.0,0,0,3,1.4,0.5,0.1%
100,2020,Anthony McFarland Jr. (PIT),33,113,3.4,20,1,0,6,10,54,9.0,0,0,11,16.7,1.5,0.1%
127,2020,Anthony Sherman (FA),3,8,2.7,6,0,0,1,2,5,5.0,1,0,12,7.3,0.6,0.0%
127,2019,Anthony Sherman (FA),4,9,2.3,5,0,0,2,3,22,11.0,0,0,16,3.1,0.2,0.0%
93,2018,Anthony Sherman (FA),1,2,2.0,2,0,0,8,9,96,12.0,1,0,16,15.8,1.0,0.0%
100,2017,Anthony Sherman (FA),14,40,2.9,9,0,1,6,8,47,7.8,0,0,16,14.7,0.9,0.0%
153,2016,Anthony Sherman (FA),0,0,0.0,0,0,0,4,6,11,2.8,0,0,16,1.1,0.1,0.0%
139,2015,Anthony Sherman (FA),1,0,0.0,0,0,0,4,5,34,8.5,0,0,16,3.4,0.2,0.0%
107,2014,Anthony Sherman (FA),2,8,4.0,4,0,0,10,14,71,7.1,1,0,16,13.9,0.9,0.0%
92,2013,Anthony Sherman (FA),2,3,1.5,2,0,0,18,24,155,8.6,1,1,16,19.8,1.2,0.0%
133,2012,Anthony Sherman (FA),0,0,0.0,0,0,0,5,8,39,7.8,0,0,13,3.9,0.3,0.0%
120,2011,Anthony Sherman (FA),1,3,3.0,3,0,0,8,9,72,9.0,0,0,15,7.5,0.5,0.0%
111,2007,Anthony Thomas (FA),8,12,1.5,7,0,0,4,0,35,8.8,0,0,6,4.7,0.8,0.0%
53,2006,Anthony Thomas (FA),107,378,3.5,19,0,2,22,0,139,6.3,0,0,14,63.7,4.6,0.0%
107,2005,Anthony Thomas (FA),43,92,2.1,12,0,0,4,1,13,3.3,0,0,9,10.5,1.2,0.0%
49,2004,Anthony Thomas (FA),122,404,3.3,41,0,2,17,23,132,7.8,0,1,12,63.6,5.3,0.0%
24,2003,Anthony Thomas (FA),244,"1,024",4.2,67,0,6,9,14,36,4.0,0,0,13,142.0,10.9,0.0%
33,2002,Anthony Thomas (FA),214,721,3.4,34,0,6,24,41,163,6.8,0,3,12,118.4,9.9,0.0%
113,2016,Antone Smith (FA),10,47,4.7,8,0,0,6,9,77,12.8,0,1,3,10.4,3.5,0.0%
156,2015,Antone Smith (FA),1,11,11.0,11,0,0,0,0,0,0.0,0,0,5,1.1,0.2,0.0%
52,2014,Antone Smith (FA),23,144,6.3,48,2,2,13,15,222,17.1,3,1,10,64.6,6.5,0.0%
83,2013,Antone Smith (FA),5,145,29.0,50,3,2,2,3,10,5.0,0,0,16,27.5,1.7,0.0%
182,2012,Antone Smith (FA),0,0,0.0,0,0,0,0,1,0,0.0,0,0,13,0.0,0.0,0.0%
164,2011,Antone Smith (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,12,0.0,0.0,0.0%
166,2010,Antone Smith (FA),1,-3,-3.0,0,0,0,0,1,0,0.0,0,0,9,-0.3,-0.0,0.0%
148,2016,Antonio Andrews (FA),2,15,7.5,9,0,0,0,0,0,0.0,0,0,16,1.5,0.1,0.0%
44,2015,Antonio Andrews (FA),143,520,3.6,38,4,3,21,29,174,8.3,0,1,14,91.0,6.5,0.0%
152,2014,Antonio Andrews (FA),0,0,0.0,0,0,0,2,2,11,5.5,0,0,4,1.1,0.3,0.0%
168,2002,Antonio Carter (FA),0,0,0.0,0,0,0,0,1,0,0.0,0,0,9,0.0,0.0,0.0%
10,2021,Antonio Gibson (WAS),258,"1,037",4.0,27,4,7,42,52,294,7.0,3,4,16,187.1,11.7,93.8%
14,2020,Antonio Gibson (WAS),170,795,4.7,40,8,11,36,44,247,6.9,0,2,14,166.2,11.9,93.8%
68,2008,Antonio Pittman (FA),78,290,3.7,24,0,0,17,0,134,7.9,0,0,8,42.4,5.3,0.0%
124,2007,Antonio Pittman (FA),9,19,2.1,7,0,0,0,0,0,0.0,0,0,3,1.9,0.6,0.0%
183,2021,Antonio Williams (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
93,2020,Antonio Williams (NYG),12,63,5.3,18,0,2,1,1,20,20.0,0,0,1,20.3,20.3,0.1%
39,2005,Antowain Smith (FA),166,659,4.0,42,0,3,12,0,46,3.8,0,0,16,88.5,5.5,0.0%
37,2004,Antowain Smith (FA),137,509,3.7,43,0,4,22,26,169,7.7,0,1,11,89.8,8.2,0.0%
39,2003,Antowain Smith (FA),182,642,3.5,30,0,3,14,16,92,6.6,0,1,13,89.4,6.9,0.0%
23,2002,Antowain Smith (FA),252,982,3.9,42,0,6,31,42,243,7.8,2,1,16,170.5,10.7,0.0%
107,2016,Arian Foster (FA),22,55,2.5,9,0,0,6,10,78,13.0,0,0,4,13.3,3.3,0.0%
66,2015,Arian Foster (FA),63,163,2.6,16,0,1,22,28,227,10.3,2,1,4,55.0,13.8,0.0%
5,2014,Arian Foster (FA),260,"1,246",4.8,51,9,8,38,59,327,8.6,5,2,13,235.5,18.1,0.0%
44,2013,Arian Foster (FA),121,542,4.5,23,2,1,22,35,183,8.3,1,0,8,86.5,10.8,0.0%
3,2012,Arian Foster (FA),351,"1,424",4.1,46,9,15,40,58,217,5.4,2,2,16,262.1,16.4,0.0%
4,2011,Arian Foster (FA),278,"1,224",4.4,43,0,10,53,72,617,11.6,2,3,13,250.1,19.2,0.0%
1,2010,Arian Foster (FA),327,"1,616",4.9,74,0,16,66,84,604,9.2,2,2,16,326.0,20.4,0.0%
62,2009,Arian Foster (FA),54,257,4.8,24,0,3,8,9,93,11.6,0,1,6,51.0,8.5,0.0%
65,2006,Arlen Harris (FA),49,158,3.2,20,0,1,18,0,132,7.3,0,0,8,35.0,4.4,0.0%
