Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST
127,2014,Anthony Denham (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
63,2017,Anthony Fasano (FA),12,16,107,8.9,29,2,1,0,0,0,0,16,16.7,1.0,0.1%
56,2016,Anthony Fasano (FA),8,14,83,10.4,17,0,2,0,0,0,0,16,20.3,1.3,0.1%
36,2015,Anthony Fasano (FA),26,42,289,11.1,33,3,2,0,0,0,0,16,40.9,2.6,0.1%
28,2014,Anthony Fasano (FA),25,36,226,9.0,22,2,4,0,0,0,0,15,46.6,3.1,0.1%
44,2013,Anthony Fasano (FA),23,33,200,8.7,20,1,3,0,0,0,0,9,38.0,4.2,0.1%
28,2012,Anthony Fasano (FA),41,69,332,8.1,22,1,5,0,0,0,0,16,65.2,4.1,0.1%
21,2011,Anthony Fasano (FA),32,54,451,14.1,35,0,5,0,0,0,0,15,75.1,5.0,0.1%
18,2010,Anthony Fasano (FA),39,60,528,13.5,31,0,4,0,0,0,0,15,76.8,5.1,0.1%
31,2009,Anthony Fasano (FA),31,53,339,10.9,27,0,2,0,0,0,2,14,41.9,3.0,0.1%
7,2008,Anthony Fasano (FA),34,3,454,13.4,24,0,7,0,0,0,0,16,87.4,5.5,0.1%
40,2007,Anthony Fasano (FA),14,0,143,10.2,26,0,1,0,0,0,0,16,20.3,1.3,0.1%
63,2006,Anthony Fasano (FA),14,0,126,9.0,22,0,0,0,0,0,0,16,12.6,0.8,0.1%
34,2021,Anthony Firkser (ATL),34,43,291,8.6,24,1,2,0,0,0,1,15,39.1,2.6,0.0%
32,2020,Anthony Firkser (ATL),39,53,387,9.9,45,6,1,0,0,0,0,16,44.7,2.8,0.0%
47,2019,Anthony Firkser (ATL),14,24,204,14.6,39,6,1,0,0,0,0,15,26.4,1.8,0.0%
44,2018,Anthony Firkser (ATL),19,20,225,11.8,28,3,1,0,0,0,0,12,28.5,2.4,0.0%
103,2011,Anthony Hill (FA),2,3,10,5.0,5,0,0,0,0,0,0,2,1.0,0.5,0.0%
95,2009,Anthony Hill (FA),1,2,9,9.0,9,0,0,0,0,0,0,2,0.9,0.5,0.0%
125,2015,Anthony McCoy (FA),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
35,2012,Anthony McCoy (FA),18,28,291,16.2,67,5,3,0,0,0,0,16,47.1,2.9,0.0%
56,2011,Anthony McCoy (FA),13,24,146,11.2,31,0,0,0,0,0,0,16,14.6,0.9,0.0%
108,2010,Anthony McCoy (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
141,2021,Antonio Gandy-Golden (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
140,2020,Antonio Gandy-Golden (FA),1,7,3,3.0,3,0,0,1,22,0,0,6,0.0,0.0,0.0%
135,2019,Antonio Gates (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%
27,2018,Antonio Gates (FA),28,45,333,11.9,27,5,2,0,0,0,1,16,47.3,3.0,0.2%
29,2017,Antonio Gates (FA),30,52,316,10.5,27,3,3,0,0,0,0,16,49.6,3.1,0.2%
10,2016,Antonio Gates (FA),53,93,548,10.3,27,5,7,0,0,0,1,14,94.8,6.8,0.2%
11,2015,Antonio Gates (FA),56,85,630,11.3,40,5,5,0,0,0,0,11,93.0,8.5,0.2%
2,2014,Antonio Gates (FA),69,98,821,11.9,34,12,12,0,0,0,0,16,154.1,9.6,0.2%
9,2013,Antonio Gates (FA),77,113,872,11.3,56,11,4,0,0,0,2,16,107.2,6.7,0.2%
12,2012,Antonio Gates (FA),49,80,538,11.0,34,5,7,0,0,0,0,15,95.8,6.4,0.2%
8,2011,Antonio Gates (FA),64,88,778,12.2,38,0,7,0,0,0,0,13,119.8,9.2,0.2%
2,2010,Antonio Gates (FA),50,65,782,15.6,48,0,10,0,0,0,0,10,138.2,13.8,0.2%
3,2009,Antonio Gates (FA),79,114,"1,157",14.6,56,0,8,0,0,0,0,16,163.7,10.2,0.2%
4,2008,Antonio Gates (FA),60,6,704,11.7,34,0,8,0,0,0,1,16,116.4,7.3,0.2%
2,2007,Antonio Gates (FA),75,11,984,13.1,49,0,9,0,0,0,0,16,152.4,9.5,0.2%
1,2006,Antonio Gates (FA),71,0,924,13.0,57,0,9,0,0,0,0,16,146.4,9.2,0.2%
1,2005,Antonio Gates (FA),89,9,"1,101",12.4,38,0,10,0,0,0,0,15,170.1,11.3,0.2%
1,2004,Antonio Gates (FA),81,114,964,11.9,72,0,13,0,0,0,0,15,174.4,11.6,0.2%
20,2003,Antonio Gates (FA),24,42,389,16.2,48,0,2,0,0,0,1,14,48.9,3.5,0.2%
73,2021,Antony Auclair (FA),5,5,47,9.4,15,0,1,0,0,0,0,4,10.7,2.7,0.0%
155,2020,Antony Auclair (FA),0,1,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
106,2019,Antony Auclair (FA),1,3,11,11.0,11,0,0,0,0,0,0,8,1.1,0.1,0.0%
96,2018,Antony Auclair (FA),7,8,48,6.9,12,0,0,0,0,0,0,16,4.8,0.3,0.0%
101,2017,Antony Auclair (FA),2,2,25,12.5,14,0,0,0,0,0,0,8,2.5,0.3,0.0%
185,2021,Armani Rogers (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
129,2016,Asante Cleveland (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
109,2015,Asante Cleveland (FA),1,1,1,1.0,1,0,0,0,0,0,0,4,0.1,0.0,0.0%
120,2014,Asante Cleveland (FA),0,1,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
146,2021,Austin Allen (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
26,2021,Austin Hooper (TEN),38,61,345,9.1,34,5,3,0,0,0,0,15,54.5,3.6,28.1%
22,2020,Austin Hooper (TEN),46,70,435,9.5,36,4,4,0,0,0,0,13,67.5,5.2,28.1%
7,2019,Austin Hooper (TEN),75,97,787,10.5,35,11,6,0,0,0,0,13,116.7,9.0,28.1%
7,2018,Austin Hooper (TEN),71,88,660,9.3,36,10,4,0,0,0,0,16,92.0,5.8,28.1%
18,2017,Austin Hooper (TEN),49,65,526,10.7,88,5,3,0,0,0,0,16,70.6,4.4,28.1%
35,2016,Austin Hooper (TEN),19,27,271,14.3,44,4,3,0,0,0,0,14,45.1,3.2,28.1%
68,2018,Austin Seferian-Jenkins (FA),11,19,90,8.2,21,1,1,0,0,0,0,5,15.0,3.0,0.0%
27,2017,Austin Seferian-Jenkins (FA),50,74,357,7.1,28,2,3,0,0,0,1,13,51.7,4.0,0.0%
51,2016,Austin Seferian-Jenkins (FA),13,20,154,11.8,30,1,1,0,0,0,0,9,21.4,2.4,0.0%
28,2015,Austin Seferian-Jenkins (FA),21,39,338,16.1,43,7,4,0,0,0,0,7,57.8,8.3,0.0%
43,2014,Austin Seferian-Jenkins (FA),21,38,221,10.5,30,3,2,0,0,0,1,9,32.1,3.6,0.0%
75,2017,Austin Traylor (FA),8,13,100,12.5,34,1,0,0,0,0,0,7,10.0,1.4,0.0%
122,2015,Bear Pascoe (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
85,2014,Bear Pascoe (FA),2,2,3,1.5,2,0,1,0,0,0,0,16,6.3,0.4,0.0%
71,2013,Bear Pascoe (FA),12,20,81,6.8,14,0,0,1,2,0,0,16,8.3,0.5,0.0%
65,2012,Bear Pascoe (FA),4,9,35,8.8,16,0,1,0,0,0,0,15,9.5,0.6,0.0%
59,2011,Bear Pascoe (FA),12,16,136,11.3,22,0,0,0,0,0,0,16,13.6,0.9,0.0%
77,2010,Bear Pascoe (FA),9,13,72,8.0,12,0,0,0,0,0,0,15,7.2,0.5,0.0%
94,2009,Bear Pascoe (FA),1,1,9,9.0,9,0,0,0,0,0,0,4,0.9,0.2,0.0%
218,2021,Beau Brinkley (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
148,2020,Beau Brinkley (ATL),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.2%
164,2019,Beau Brinkley (ATL),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%
140,2018,Beau Brinkley (ATL),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%
139,2017,Beau Brinkley (ATL),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%
137,2016,Beau Brinkley (ATL),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%
138,2015,Beau Brinkley (ATL),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%
138,2014,Beau Brinkley (ATL),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%
137,2013,Beau Brinkley (ATL),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%
133,2012,Beau Brinkley (ATL),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%
75,2019,Ben Braunecker (FA),6,11,59,9.8,18,0,1,0,0,0,0,11,11.9,1.1,0.0%
99,2018,Ben Braunecker (FA),3,5,42,14.0,20,1,0,0,0,0,0,15,4.2,0.3,0.0%
146,2017,Ben Braunecker (FA),0,0,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
90,2016,Ben Braunecker (FA),4,6,41,10.3,14,0,0,0,0,0,0,13,4.1,0.3,0.0%
132,2021,Ben Ellefson (MIN),0,1,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
100,2020,Ben Ellefson (MIN),1,4,10,10.0,10,0,0,0,0,0,0,7,3.0,0.4,0.0%
125,2013,Ben Hartsock (FA),0,0,0,0.0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%
89,2012,Ben Hartsock (FA),2,3,30,15.0,25,1,0,0,0,0,0,15,3.0,0.2,0.0%
123,2011,Ben Hartsock (FA),0,0,0,0.0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
102,2010,Ben Hartsock (FA),1,3,7,7.0,7,0,0,0,0,0,0,16,0.7,0.0,0.0%
75,2009,Ben Hartsock (FA),1,4,2,2.0,2,0,1,0,0,0,0,16,6.2,0.4,0.0%
81,2008,Ben Hartsock (FA),3,0,26,8.7,17,0,0,0,0,0,0,11,2.6,0.2,0.0%
49,2007,Ben Hartsock (FA),12,0,138,11.5,27,0,0,0,0,0,0,16,13.8,0.9,0.0%
76,2006,Ben Hartsock (FA),6,0,68,11.3,23,0,0,0,0,0,0,6,6.8,1.1,0.0%
96,2005,Ben Hartsock (FA),2,0,8,4.0,7,0,0,0,0,0,0,5,0.8,0.2,0.0%
89,2004,Ben Hartsock (FA),4,8,33,8.3,17,0,0,0,0,0,0,6,3.3,0.6,0.0%
110,2019,Ben Koyack (FA),1,3,9,9.0,9,0,0,0,0,0,0,12,0.9,0.1,0.0%
148,2018,Ben Koyack (FA),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
87,2017,Ben Koyack (FA),5,7,38,7.6,21,1,0,0,0,0,0,16,5.8,0.4,0.0%
50,2016,Ben Koyack (FA),19,24,161,8.5,17,0,1,0,0,0,0,14,22.1,1.6,0.0%
161,2021,Ben Mason (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
63,2010,Ben Patrick (FA),15,18,123,8.2,21,0,0,0,0,0,0,10,12.3,1.2,0.0%
41,2009,Ben Patrick (FA),12,16,146,12.2,28,0,2,0,0,0,0,8,26.6,3.3,0.0%
73,2008,Ben Patrick (FA),5,4,44,8.8,17,0,0,0,0,0,0,3,4.4,1.5,0.0%
85,2004,Ben Steele (FA),4,11,42,10.5,27,0,0,0,0,0,0,10,4.2,0.4,0.0%
78,2007,Ben Troupe (FA),2,0,22,11.0,13,0,0,0,0,0,0,2,2.2,1.1,0.0%
43,2006,Ben Troupe (FA),13,0,150,11.5,32,0,2,0,0,0,0,10,27.0,2.7,0.0%
14,2005,Ben Troupe (FA),55,0,530,9.6,35,0,4,0,0,0,0,14,77.0,5.5,0.0%
33,2004,Ben Troupe (FA),33,52,329,10.0,33,0,1,0,0,0,0,13,38.9,3.0,0.0%
57,2008,Ben Utecht (FA),12,0,103,8.6,14,0,0,0,0,0,0,6,10.3,1.7,0.0%
52,2007,Ben Utecht (FA),11,0,127,11.5,30,0,0,0,0,0,0,6,12.7,2.1,0.0%
30,2006,Ben Utecht (FA),37,0,377,10.2,26,0,0,0,0,0,0,13,37.7,2.9,0.0%
48,2005,Ben Utecht (FA),3,0,59,19.7,26,0,2,0,0,0,0,3,17.9,6.0,0.0%
61,2019,Benjamin Watson (FA),17,24,173,10.2,26,3,0,0,0,0,0,10,17.3,1.7,2.8%
24,2018,Benjamin Watson (FA),35,46,400,11.4,32,7,2,0,0,0,0,16,52.0,3.3,2.8%
16,2017,Benjamin Watson (FA),61,79,522,8.6,33,5,4,0,0,0,0,16,76.2,4.8,2.8%
8,2015,Benjamin Watson (FA),74,110,825,11.1,46,13,6,0,0,0,1,16,116.5,7.3,2.8%
51,2014,Benjamin Watson (FA),20,31,136,6.8,15,0,2,0,0,0,0,16,25.6,1.6,2.8%
45,2013,Benjamin Watson (FA),19,30,226,11.9,32,4,2,0,0,0,0,15,34.6,2.3,2.8%
24,2012,Benjamin Watson (FA),49,81,501,10.2,27,5,3,0,0,0,0,16,68.1,4.3,2.8%
31,2011,Benjamin Watson (FA),37,71,410,11.1,34,0,2,0,0,0,0,13,53.0,4.1,2.8%
14,2010,Benjamin Watson (FA),68,102,763,11.2,44,0,3,1,-1,0,0,16,94.2,5.9,2.8%
19,2009,Benjamin Watson (FA),29,41,404,13.9,36,0,5,0,0,0,0,16,70.4,4.4,2.8%
33,2008,Benjamin Watson (FA),22,10,209,9.5,29,0,2,0,0,0,0,14,32.9,2.4,2.8%
9,2007,Benjamin Watson (FA),36,0,389,10.8,35,0,6,1,11,0,0,12,76.0,6.3,2.8%
10,2006,Benjamin Watson (FA),49,0,643,13.1,40,0,3,0,0,0,0,13,82.3,6.3,2.8%
17,2005,Benjamin Watson (FA),29,0,441,15.2,35,0,4,0,0,0,0,15,68.1,4.5,2.8%
97,2004,Benjamin Watson (FA),2,4,16,8.0,14,0,0,0,0,0,0,1,1.6,1.6,2.8%
99,2007,Bennie Joppru (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
107,2006,Bennie Joppru (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
167,2021,Bernhard Seikovits (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
103,2004,Billy Baber (FA),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%
85,2003,Billy Baber (FA),1,1,20,20.0,20,0,0,0,0,0,0,2,2.0,1.0,0.0%
70,2002,Billy Baber (FA),2,3,10,5.0,7,0,1,0,0,0,0,4,7.0,1.8,0.0%
101,2013,Billy Bajema (FA),2,2,18,9.0,18,0,0,0,0,0,0,6,1.8,0.3,0.0%
112,2012,Billy Bajema (FA),0,1,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
75,2011,Billy Bajema (FA),9,14,71,7.9,19,0,0,0,0,0,0,16,7.1,0.4,0.0%
44,2010,Billy Bajema (FA),14,24,145,10.4,26,0,2,0,0,0,0,13,26.5,2.0,0.0%
65,2009,Billy Bajema (FA),8,11,94,11.8,27,0,0,0,0,0,0,16,9.4,0.6,0.0%
77,2008,Billy Bajema (FA),2,0,34,17.0,29,0,0,0,0,0,0,16,3.4,0.2,0.0%
106,2007,Billy Bajema (FA),0,0,0,0.0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
110,2006,Billy Bajema (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
72,2005,Billy Bajema (FA),5,1,54,10.8,24,0,0,0,0,0,0,14,5.4,0.4,0.0%
19,2008,Billy Miller (FA),40,3,508,12.7,41,0,1,0,0,0,0,10,56.8,5.7,0.0%
53,2007,Billy Miller (FA),8,0,125,15.6,57,0,0,0,0,0,0,5,12.5,2.5,0.0%
59,2006,Billy Miller (FA),14,0,129,9.2,22,0,0,0,0,0,0,8,14.9,1.9,0.0%
107,2005,Billy Miller (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
45,2004,Billy Miller (FA),17,33,178,10.5,27,0,1,0,0,0,0,14,23.8,1.7,0.0%
16,2003,Billy Miller (FA),40,65,355,8.9,25,0,3,0,0,0,0,16,53.5,3.3,0.0%
8,2002,Billy Miller (FA),51,80,613,12.0,42,0,3,0,0,0,0,14,79.3,5.7,0.0%
117,2014,Blake Annen (FA),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
78,2021,Blake Bell (KC),9,13,87,9.7,24,2,0,4,10,0,0,12,9.7,0.8,0.1%
74,2020,Blake Bell (KC),11,15,110,10.0,24,1,0,1,2,0,0,16,11.2,0.7,0.1%
87,2019,Blake Bell (KC),8,15,67,8.4,30,2,0,0,0,0,0,15,6.7,0.4,0.1%
89,2018,Blake Bell (KC),8,11,67,8.4,16,0,0,0,0,0,0,10,6.7,0.7,0.1%
95,2017,Blake Bell (KC),3,4,19,6.3,12,0,0,0,0,0,0,13,3.9,0.3,0.1%
